#Node	k	network_signs	integer_encoded_BF	model_PMID
PTEN	2	ia	4	24970389
ERBB3	6	aiiiaa	8070450536274460672	24970389
ERBB1	4	aiia	16576	24970389
p70S6K	5	aiaii	134252544	24970389
PRAS	2	ia	4	24970389
Nfkb	1	a	1	24970389
TSC2	4	iiia	16384	24970389
ERK1_2	2	aa	7	24970389
RPS6	2	aa	7	24970389
p38	2	aa	7	24970389
RB	3	iaa	112	24970389
CyclinB1	4	aaai	10922	24970389
cRAF	4	aaai	10922	24970389
BAX	1	a	1	24970389
FoxO1_3a	2	ia	4	24970389
ERBB2	6	aaiiai	2306018933758533632	24970389
BAX	2	aa	7	24970389
ERK1_2	4	aaaa	32767	24970389
ERBB1	4	aiia	16576	24970389
CyclinB1	3	aia	76	24970389
cRAF	6	aaaiia	4665941148055945408	24970389
TSC2	5	iaiia	1086324736	24970389
GSKa_b	2	aa	7	24970389
AKT	7	aiaaaia	102084710012899009042358307410226970624	24970389
p53	4	aaaa	32767	24970389
PTEN	3	iaa	112	24970389
RB	5	iaiai	547356672	24970389
ERBB3	5	iaiia	1086324736	24970389
cJUN	2	ai	2	24970389
p70S6K	5	aaaii	143165576	24970389
PRAS	3	iaa	112	24970389
CyclinD1	6	aaaaia	5534023222112865484	24970389
FoxO1_3a	2	ia	4	24970389
Nfkb	3	aaa	127	24970389
RPS6	2	aa	7	24970389
p38	2	aa	7	24970389
NE	5	aaiia	12599488	22253585
IFNgI	2	aa	7	22253585
IL4I	1	a	1	22253585
IL10I	1	a	1	22253585
PIC	3	aii	8	22253585
AD	4	aiaa	13050	22253585
DCI	1	a	1	22253585
Th1I	1	a	1	22253585
EL	2	ia	4	22253585
EL2	3	aaa	21	22253585
DCII	1	a	1	22253585
IL4II	5	aaiaa	1358917887	22253585
TEL	2	aa	7	22253585
BC	2	aa	7	22253585
T0	1	a	1	22253585
IgA	2	aa	1	22253585
IL13	4	aaaa	24447	22253585
Th2I	1	a	1	22253585
EC	2	aa	7	22253585
IL5	2	aa	7	22253585
IgE	3	aaa	7	22253585
Th2II	3	aia	4	22253585
IL12II	3	aia	4	22253585
Th1II	3	aaa	1	22253585
IgG	1	a	1	22253585
RIP1	3	iaa	112	20221256
DISC-FAS	2	aa	1	20221256
CASP8	4	aiaa	28912	20221256
TNFR	1	a	1	20221256
cFLIP	1	a	1	20221256
NFkB	2	ia	4	20221256
XIAP	2	ai	2	20221256
SMAC	1	a	1	20221256
apoptosome	3	aai	2	20221256
Cyt_c	1	a	1	20221256
ATP	1	i	2	20221256
CASP3	2	ai	2	20221256
survival	1	a	1	20221256
BCL2	1	a	1	20221256
apoptosis	1	a	1	20221256
RIP1ub	2	aa	1	20221256
cIAP	3	aai	42	20221256
IKK	1	a	1	20221256
DISC-TNF	2	aa	1	20221256
RIP1k	1	a	1	20221256
MOMP	2	aa	7	20221256
ROS	3	aia	76	20221256
MPT	2	ia	4	20221256
BAX	2	ia	4	20221256
NonACD	1	i	2	20221256
CXCR4_H	4	aiii	128	27594840
CXCL12_M	4	iaii	2048	27594840
CXCR7_H	2	aa	1	27594840
Gfi1_H	3	aia	76	27594840
GCSF	1	a	1	27594840
FoxO3a_M	4	aiia	16576	27594840
Bcatenin_M	3	iii	128	27594840
ERK_M	3	aaa	127	27594840
PI3KAkt_M	3	aaa	127	27594840
ROS_M	3	iaa	16	27594840
Cx43_M	1	a	1	27594840
NfkB_M	5	aaaaa	1432319871	27594840
IL1	6	aaiiaa	8309409528899764208	27594840
TLR_M	1	a	1	27594840
NfkB_H	5	iaaaa	2004811776	27594840
TLR_H	1	a	1	27594840
FoxO3a_H	4	aiia	16576	27594840
PI3KAkt_H	7	aaiaaaa	170135991203223569244594417953325121536	27594840
ROS_H	3	iaa	16	27594840
GSK3B_H	1	i	2	27594840
GSK3B_M	1	i	2	27594840
lTLR	1	a	1	27594840
VCAM1_M	3	iaa	247	27594840
ERK_H	9	aaiaaiaaa	6232739508289220416551220177372487609228640093952705533961774959058840798400037453627987428492874492691231653530606859698588433217881109692778214993166336	27594840
VLA4_H	2	aa	1	27594840
Bcatenin_H	1	i	2	27594840
ERK1/2	2	ia	4	28361666
MEK1	1	a	1	28361666
ERBB2/3	1	a	1	28361666
EGFR/ERBB2	1	a	1	28361666
SP1	1	a	1	28361666
PIP3	2	ai	2	28361666
PIK3CA	3	aaa	127	28361666
SRF-ELK1	2	aa	1	28361666
RP6SKB1	4	aaai	15359	28361666
AKT	3	aaa	251	28361666
PDPK1	1	a	1	28361666
AR/AR	2	aa	7	28361666
AR/HSP	1	a	1	28361666
Raf	3	iaa	117	28361666
TMPRSS2	2	ai	2	28361666
BCL2	1	i	2	28361666
BAD	2	ii	8	28361666
EFGR	2	aa	7	28361666
CDK2-CyclinE	1	i	2	28361666
p21	1	i	2	28361666
TSC1/2	2	ii	13	28361666
PSA	2	ai	2	28361666
IRS1	2	ia	4	28361666
IGFR1A/B	1	a	1	28361666
mTOR	1	a	1	28361666
RHEB	1	i	2	28361666
Ras	1	a	1	28361666
GRB2/SOS	5	aaaai	1002159035	28361666
EC	1	a	1	22253585
Bb	2	ai	2	22253585
TrII	2	aa	1	22253585
DCII	1	a	1	22253585
T0	1	a	1	22253585
PIC	4	aaai	10922	22253585
IL10I	4	aaaa	14335	22253585
AP	6	aaaaaa	4294971665	22253585
DP	2	aa	1	22253585
IgG	2	aa	7	22253585
C	4	aaai	2619	22253585
Th1I	1	a	1	22253585
MPI	3	aaa	7	22253585
AgAb	3	aaa	7	22253585
IgA	3	aaa	7	22253585
IFNgI	5	aiiaa	1882255600	22253585
Oag	1	a	1	22253585
IL4I	1	a	1	22253585
IL4II	5	aiiaa	1342205952	22253585
Th2I	1	a	1	22253585
TTSSI	3	aii	8	22253585
TrI	1	a	1	22253585
NE	1	a	1	22253585
BC	2	aa	7	22253585
DCI	3	aaa	7	22253585
Th2II	3	aia	4	22253585
IL12II	3	aia	4	22253585
PH	2	aa	1	22253585
Th1II	3	aaa	1	22253585
TTSSII	1	a	1	22253585
IFNgII	1	a	1	22253585
IL12I	3	aia	4	22253585
IL10II	1	a	1	22253585
Farnesyl_pyrophosphate	2	ia	4	19025648
Geranyl_pyrophosphate	2	aa	7	19025648
FPP_Synthase	1	a	1	19025648
Acetyl_CoA_acetyltransferase	1	a	1	19025648
Acetyl_CoA_acetyltransferase_RNA	1	a	1	19025648
pSREBP	1	a	1	19025648
SREBP_SCAP	2	ai	2	19025648
HMG_CoA_Reductase_RNA	1	a	1	19025648
HMG_CoA_Reductase_gene	1	a	1	19025648
FPP_Synthase_RNA	1	a	1	19025648
FPP_Synthase_gene	1	a	1	19025648
Dimethyl_allyl_pyrophosphate	1	a	1	19025648
Isopentenyl_pyrophosphate	1	a	1	19025648
HMG_CoA_Reductase	2	ai	2	19025648
Statins	1	a	1	19025648
Insig_SREBP_SCAP	1	i	2	19025648
Cholesterol	2	aa	7	19025648
HMG_CoA_Synthase	1	a	1	19025648
HMG_CoA_Synthase_RNA	1	a	1	19025648
mSREBP	1	a	1	19025648
Mevalonyl_pyrophosphate	1	a	1	19025648
HMG_CoA	3	aaa	1	19025648
Acetoacetyl_CoA	2	aa	1	19025648
Acetyl_CoA	1	a	1	19025648
HMG_CoA_Synthase_gene	1	a	1	19025648
Lanosterol	1	a	1	19025648
Squaline	1	a	1	19025648
Septdehydrocholesterol	1	a	1	19025648
Cyp51_gene	1	a	1	19025648
Cyp51_RNA	1	a	1	19025648
Acetyl_CoA_acetyltransferase_gene	1	a	1	19025648
Desmosterol	1	a	1	19025648
Cyp51	1	a	1	19025648
Mevalonic_Acid	2	aa	1	19025648
Cas9	4	iaai	10752	19422837
Cas3	4	aaai	10922	19422837
IAP	4	iaia	17472	19422837
AKT	1	a	1	19422837
Cas12	1	a	1	19422837
Cas6	2	ai	2	19422837
APC	4	aaia	4	19422837
Cas8	3	aia	76	19422837
PI3K	1	a	1	19422837
GFR	1	a	1	19422837
PIP3	3	aai	2	19422837
JNK	1	a	1	19422837
JNKK	2	ia	4	19422837
p53	3	aai	42	19422837
Mdm2	2	aa	7	19422837
DNADamageEvent	1	a	1	19422837
NIK	1	a	1	19422837
TRAF2	2	aa	7	19422837
Mito	2	ia	4	19422837
BID	4	iaaa	5376	19422837
BclX	3	iai	32	19422837
FADD	1	a	1	19422837
TRADD	1	a	1	19422837
TNFR2	1	a	1	19422837
RIP	1	a	1	19422837
NFkB	1	i	2	19422837
MEKK1	1	a	1	19422837
Apaf1	1	a	1	19422837
PIP2	1	a	1	19422837
Apoptosis	1	a	1	19422837
A20	1	a	1	19422837
IkB	2	ia	4	19422837
IKK	3	iaa	112	19422837
cFLIP	1	a	1	19422837
TRAF	1	a	1	19422837
BAD	2	ia	4	19422837
Cas7	3	aai	42	19422837
TNFR1	1	a	1	19422837
PTEN	1	a	1	19422837
AnionEM	3	iaa	113	16968132
Ca2_c	3	iaa	112	16968132
ABI1	3	iai	32	16968132
pH	1	a	1	16968132
Depolar	5	aaaaa	4227858431	16968132
KEV	1	a	1	16968132
KOUT	4	aaai	251	16968132
HTPase	3	iii	128	16968132
Ca2_ATPase	1	a	1	16968132
InsP6	1	a	1	16968132
InsPK	1	a	1	16968132
cADPR	1	a	1	16968132
ADPRc	1	a	1	16968132
Closure	5	aaaai	42	16968132
KAP	3	iaa	50	16968132
Actin	2	ai	11	16968132
Malate	3	iia	64	16968132
Atrboh	4	iaaa	256	16968132
OST1	1	a	1	16968132
ROP2	1	a	1	16968132
cGMP	1	a	1	16968132
GC	1	a	1	16968132
ROP10	1	a	1	16968132
PA	1	a	1	16968132
PLD	1	a	1	16968132
InsP3	1	a	1	16968132
PLC	2	aa	1	16968132
NOS	1	a	1	16968132
ROS	1	a	1	16968132
CIS	4	aaaa	4383	16968132
CaIM	4	aiaa	61648	16968132
AGB1	1	a	1	16968132
GPA1	3	aia	13	16968132
RAC1	2	ii	8	16968132
PEPC	1	i	2	16968132
NO	2	aa	1	16968132
NIA12	1	a	1	16968132
RCN1	1	a	1	16968132
SphK	1	a	1	16968132
S1P	1	a	1	16968132
p53	4	aaai	10922	29206223
ATM	1	a	1	29206223
MDM2	2	ia	4	29206223
CHK1	1	a	1	29206223
CHK2	1	a	1	29206223
NFkB	2	ia	4	29206223
IKK	3	aaa	127	29206223
IkB	4	aiaa	21756	29206223
Akt	1	a	1	29206223
NIK	1	a	1	29206223
NEMO	1	a	1	29206223
p21	2	aa	7	29206223
HIF1	2	ai	2	29206223
PI3K	1	a	1	29206223
CEBPbeta	1	a	1	29206223
Elk1	1	a	1	29206223
AP1	2	aa	1	29206223
cJun	5	aaaaa	8323327	29206223
cFos	5	aaaaa	2147483647	29206223
IL6R	1	a	1	29206223
IL6	3	aaa	127	29206223
CDK4	2	ii	8	29206223
p16INK4	2	aa	7	29206223
CDK2	2	ai	2	29206223
E2F	3	aai	42	29206223
MKP1	1	a	1	29206223
MEK1_2	2	aa	1	29206223
GP130	1	a	1	29206223
ERK1_2	2	aa	1	29206223
p38	2	ai	2	29206223
MKK	2	aa	7	29206223
IRAK	3	aaa	127	29206223
MyD88	1	a	1	29206223
IL1R	1	a	1	29206223
pRB	2	aa	7	29206223
MEKK	1	a	1	29206223
TAK1	2	aa	7	29206223
TAB	2	aa	7	29206223
TRAF6	1	a	1	29206223
STAT3	4	aaaa	30591	29206223
JAK	2	ai	2	29206223
mTOR	1	a	1	29206223
IL1	1	a	1	29206223
RB	3	iii	128	29206223
ATR	1	a	1	29206223
Oncogene	2	aa	7	29206223
IL8	3	aaa	127	29206223
JNK	2	ai	2	29206223
SOCS3	1	a	1	29206223
ATM	1	a	1	24250280
FRS2	3	aii	8	24250280
FGFR3	3	aii	8	24250280
GRB2	3	aaa	127	24250280
SPRY	1	a	1	24250280
BCL2	2	aa	1	24250280
CREB	1	a	1	24250280
AKT	2	ai	2	24250280
RAS	2	aa	7	24250280
SOS	2	ai	2	24250280
PLCG	2	aa	7	24250280
RSK	1	a	1	24250280
MDM2	3	aia	76	24250280
p14	1	a	1	24250280
p53	3	aia	77	24250280
p38	5	iaaaa	2147424127	24250280
JUN	1	a	1	24250280
JNK	5	iaaaa	2147424127	24250280
MYC	3	aaa	21	24250280
MTK1	1	a	1	24250280
GADD45	2	aa	7	24250280
GAB1	2	aa	7	24250280
PI3K	3	aaa	31	24250280
MSK	2	aa	7	24250280
MAX	1	a	1	24250280
Apoptosis	4	iiaa	4096	24250280
FOXO3	2	ia	4	24250280
ERK	1	a	1	24250280
TAK1	1	a	1	24250280
TGFBR	1	a	1	24250280
EGFR	4	aiia	16576	24250280
PKC	1	a	1	24250280
PTEN	1	a	1	24250280
PDK1	1	a	1	24250280
ATF2	2	aa	7	24250280
RAF	4	iiaa	28672	24250280
MAP3K1_3	1	a	1	24250280
TAOK	1	a	1	24250280
DUSP1	1	a	1	24250280
SMAD	1	a	1	24250280
Growth_Arrest	1	a	1	24250280
p21	2	ia	4	24250280
FOS	4	aaaa	273	24250280
ELK1	3	aaa	127	24250280
Proliferation	3	aia	4	24250280
p70	2	aa	1	24250280
MEK1_2	4	iaia	19456	24250280
AP1	3	aaa	21	24250280
PPP2CA	1	a	1	24250280
AD	5	aaaii	524424	22253585
IgG	1	a	1	22253585
NE_TRetortaeformis	5	aaiia	12604885	22253585
MPI_Bacterium	3	aaa	7	22253585
BC_TRetortaeformis	2	aa	7	22253585
T0	2	aa	7	22253585
PIC	6	aaaaii	614891469123651720	22253585
AP	6	aaaaaa	4294971665	22253585
IL10I	2	aa	7	22253585
IgA_TRetortaeformis	2	aa	1	22253585
EC_Bacterium	1	a	1	22253585
EC_TRetortaeformis	2	aa	7	22253585
Th1II_Bacterium	3	aaa	1	22253585
DCII_Bacterium	1	a	1	22253585
IL12II	4	aaia	1092	22253585
IgG_Bacterium	2	aa	7	22253585
Th1I_Bacterium	1	a	1	22253585
Cb	4	aaai	2619	22253585
Bb	2	ai	2	22253585
AgAb_Bacterium	3	aaa	7	22253585
DCI_Bacterium	3	aaa	7	22253585
IFNg_Bacterium	5	aiiaa	1932787711	22253585
BC_Bacterium	2	aa	7	22253585
TTSSII	1	a	1	22253585
TTSSI	3	aii	8	22253585
Th2I_TRetortaeformis	1	a	1	22253585
Th2II_TRetortaeformis	3	aia	4	22253585
Oag	1	a	1	22253585
PH	2	aa	1	22253585
TrI_Bacterium	1	a	1	22253585
TrII	3	aaa	1	22253585
IL13	5	aaaaa	2013233151	22253585
EL	2	ia	4	22253585
EL2	3	aaa	21	22253585
Th2I_Bacterium	1	a	1	22253585
IL4II	8	aaaiiaaa	53825229008368646880413144062413591786695904350844421055384767065941738520575	22253585
Th2II_Bacterium	3	aia	4	22253585
IFNgI	3	aaa	127	22253585
DCII_TRetortaeformis	1	a	1	22253585
Th1II_TRetortaeformis	3	aaa	1	22253585
Th1I_TRetortaeformis	1	a	1	22253585
IL5	2	aa	7	22253585
IgE	3	aaa	7	22253585
DCI_TRetortaeformis	1	a	1	22253585
IL4I	1	a	1	22253585
IL10I_Bacterium	4	aaaa	14335	22253585
TNE	2	aa	7	22253585
NE_Bacterium	1	a	1	22253585
IgA_Bacterium	3	aaa	7	22253585
IFNgII	2	aa	7	22253585
DP	2	aa	1	22253585
TEL	2	aa	7	22253585
